,pclass,age,sex
0,3,29.0,0
1,1,65.0,1
2,2,59.0,1
3,1,46.0,1
4,3,29.0,1
5,3,29.0,0
6,3,29.0,0
7,3,29.0,0
8,3,29.0,1
9,1,49.0,1
10,3,24.0,1
11,2,29.0,0
12,1,42.0,1
13,2,29.0,1
14,2,29.0,0
15,1,45.0,0
16,2,28.0,1
17,1,29.0,1
18,3,29.0,0
19,1,70.0,1
20,1,31.0,1
21,3,32.0,0
22,3,29.0,1
23,2,25.0,1
24,3,29.0,1
25,1,48.0,1
26,3,29.0,1
27,1,21.0,0
28,1,29.0,1
29,1,49.0,1
30,1,29.0,0
31,2,20.0,1
32,2,50.0,1
33,1,32.0,1
34,2,21.0,0
35,1,23.0,1
36,3,29.0,1
37,1,31.0,1
38,3,28.0,1
39,3,29.0,1
40,1,48.0,0
41,1,46.0,1
42,2,2.0,1
43,3,20.0,1
44,2,24.0,1
45,3,29.0,0
46,1,31.0,1
47,2,19.0,0
48,3,41.0,1
49,3,36.0,1
50,2,24.0,1
51,3,42.0,1
52,3,29.0,0
53,1,29.0,0
54,1,30.0,1
55,1,45.0,1
56,3,28.0,0
57,3,29.0,0
58,2,30.0,1
59,3,29.0,0
60,1,33.0,1
61,2,29.0,1
62,1,40.0,0
63,1,29.0,0
64,2,34.0,1
65,3,29.0,1
66,3,1.0,1
67,1,61.0,1
68,3,9.0,1
69,3,29.0,1
70,3,29.0,0
71,2,54.0,1
72,2,30.0,0
73,3,29.0,1
74,2,16.0,1
75,1,51.0,1
76,2,22.0,1
77,2,31.0,1
78,2,23.0,1
79,1,29.0,1
80,3,34.0,1
81,2,29.0,1
82,3,29.0,0
83,2,54.0,1
84,3,29.0,1
85,2,13.0,0
86,2,25.0,1
87,3,29.0,1
88,1,29.0,0
89,1,55.0,0
90,1,54.0,1
91,1,56.0,1
92,2,24.0,0
93,3,29.0,1
94,3,29.0,0
95,3,29.0,1
96,3,30.0,0
97,3,29.0,0
98,3,29.0,1
99,3,32.0,1
100,2,42.0,1
101,3,29.0,1
102,2,30.0,1
103,3,29.0,0
104,2,29.0,1
105,1,29.0,0
106,3,29.0,1
107,3,33.0,0
108,3,29.0,1
109,3,40.0,1
110,1,29.0,1
111,2,29.0,1
112,3,29.0,1
113,1,29.0,0
114,2,30.0,0
115,3,29.0,1
116,3,29.0,1
117,3,29.0,0
118,3,29.0,1
119,3,29.0,0
120,3,29.0,1
121,3,29.0,1
122,1,29.0,0
123,3,29.0,1
124,1,29.0,1
125,1,64.0,1
126,3,29.0,1
127,1,36.0,0
128,3,18.0,1
129,1,36.0,1
130,3,29.0,0
131,3,17.0,0
132,3,29.0,1
133,3,29.0,1
134,3,29.0,0
135,1,29.0,1
136,3,27.0,1
137,2,2.0,1
138,3,23.0,0
139,3,23.0,1
140,3,29.0,1
141,2,22.0,0
142,3,29.0,1
143,3,29.0,0
144,1,53.0,0
145,2,26.0,0
146,1,31.0,0
147,2,18.0,1
148,1,45.0,1
149,3,26.0,1
150,3,29.0,0
151,1,62.0,0
152,3,29.0,0
153,3,29.0,1
154,1,50.0,0
155,3,29.0,1
156,1,29.0,1
157,3,29.0,1
158,3,29.0,0
159,3,29.0,1
160,1,58.0,0
161,3,29.0,0
162,1,54.0,0
163,2,29.0,1
164,3,29.0,1
165,1,28.0,1
166,3,29.0,1
167,2,8.0,0
168,3,29.0,0
169,3,29.0,1
170,3,29.0,0
171,2,42.0,0
172,2,32.0,1
173,2,28.0,1
174,3,21.0,0
175,3,29.0,1
176,3,29.0,1
177,1,29.0,1
178,2,29.0,1
179,3,29.0,0
180,1,55.0,1
181,1,50.0,1
182,3,29.0,1
183,3,29.0,1
184,3,9.0,1
185,3,29.0,1
186,2,29.0,1
187,3,29.0,1
188,3,18.0,0
189,3,28.0,1
190,3,29.0,0
191,3,29.0,0
192,1,28.0,1
193,1,27.0,0
194,3,4.0,1
195,3,29.0,0
196,3,22.0,0
197,3,29.0,1
198,2,29.0,0
199,3,29.0,1
200,3,29.0,1
201,2,30.0,1
202,3,29.0,1
203,3,9.0,0
204,3,29.0,1
205,3,29.0,1
206,1,29.0,1
207,2,53.0,0
208,3,29.0,1
209,1,29.0,1
210,1,44.0,0
211,3,20.0,1
212,3,29.0,1
213,3,65.0,1
214,1,58.0,0
215,2,3.0,1
216,1,29.0,1
217,3,29.0,1
218,3,29.0,1
219,3,24.0,1
220,3,29.0,1
221,3,38.0,0
222,3,29.0,1
223,2,18.0,1
224,3,29.0,1
225,3,22.0,1
226,3,19.0,1
227,3,29.0,0
228,2,29.0,0
229,3,29.0,1
230,3,29.0,1
231,2,50.0,0
232,1,36.0,1
233,1,39.0,0
234,1,29.0,1
235,3,29.0,1
236,3,29.0,0
237,1,55.0,0
238,3,29.0,1
239,1,33.0,0
240,1,29.0,0
241,2,29.0,1
242,3,32.0,1
243,3,17.0,1
244,1,40.0,0
245,2,22.0,0
246,1,0.9167,1
247,2,29.0,1
248,2,34.0,1
249,2,29.0,1
250,2,26.0,1
251,3,29.0,0
252,3,29.0,1
253,3,29.0,0
254,3,22.0,1
255,3,35.0,1
256,2,25.0,1
257,3,29.0,1
258,3,25.0,1
259,1,41.0,1
260,1,29.0,1
261,3,29.0,1
262,3,29.0,1
263,3,29.0,1
264,1,22.0,0
265,3,29.0,1
266,3,29.0,1
267,3,29.0,1
268,3,29.0,1
269,3,29.0,1
270,1,25.0,0
271,1,29.0,0
272,3,29.0,1
273,2,21.0,1
274,1,29.0,1
275,3,29.0,1
276,3,29.0,0
277,3,29.0,1
278,3,20.0,0
279,3,29.0,0
280,3,29.0,1
281,3,29.0,0
282,1,29.0,0
283,3,29.0,0
284,3,19.0,1
285,2,29.0,1
286,3,20.0,0
287,1,16.0,0
288,1,29.0,0
289,3,29.0,0
290,3,29.0,0
291,2,29.0,1
292,1,29.0,1
293,1,29.0,1
294,2,26.0,1
295,3,29.0,1
296,3,29.0,1
297,1,29.0,1
298,3,29.0,1
299,2,1.0,0
300,3,29.0,1
301,3,29.0,1
302,2,12.0,0
303,1,41.0,1
304,3,29.0,1
305,3,29.0,1
306,3,29.0,1
307,2,21.0,0
308,3,29.0,0
309,2,28.0,1
310,1,35.0,0
311,1,13.0,1
312,3,29.0,1
313,3,29.0,0
314,3,29.0,0
315,1,44.0,0
316,3,29.0,1
317,3,24.0,0
318,1,44.0,1
319,1,47.0,0
320,2,27.0,0
321,3,29.0,1
322,1,57.0,1
323,2,21.0,1
324,3,29.0,1
325,1,42.0,1
326,3,29.0,0
327,3,35.0,1
328,3,29.0,1
329,3,15.0,0
330,3,29.0,1
331,2,45.0,1
332,2,29.0,1
333,3,29.0,1
334,2,19.0,1
335,3,29.0,1
336,3,21.0,1
337,3,29.0,0
338,1,50.0,0
339,1,64.0,1
340,3,22.0,0
341,3,29.0,1
342,3,29.0,1
343,3,29.0,1
344,1,55.0,1
345,3,22.0,0
346,1,60.0,1
347,3,29.0,0
348,3,29.0,1
349,3,29.0,0
350,3,29.0,0
351,2,48.0,0
352,3,29.0,1
353,2,29.0,1
354,1,26.0,0
355,1,27.0,0
356,2,28.0,0
357,1,52.0,0
358,2,32.0,0
359,2,18.0,1
360,3,40.0,1
361,1,29.0,1
362,2,50.0,0
363,2,3.0,1
364,1,47.0,0
365,2,36.0,1
366,3,29.0,1
367,3,29.0,1
368,3,29.0,1
369,2,29.0,0
370,2,29.0,1
371,3,18.0,1
372,1,57.0,1
373,3,25.0,1
374,2,29.0,0
375,3,3.0,0
376,3,29.0,1
377,3,6.0,1
378,3,29.0,1
379,2,8.0,1
380,2,29.0,1
381,1,6.0,1
382,3,29.0,1
383,2,29.0,1
384,2,27.0,1
385,3,29.0,1
386,3,29.0,1
387,3,29.0,0
388,3,29.0,0
389,2,29.0,0
390,3,29.0,0
391,2,14.0,1
392,3,29.0,0
393,3,30.0,0
394,2,52.0,1
395,3,29.0,1
396,1,21.0,1
397,1,30.0,1
